"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote"
MONTGOMERY SURGICAL CENTER,01C0001000,1376634683,MONTGOMERY,AL,36117,2020,15.89,,N/A,5,505,No Different than the National Rate,9.5,7,12.8,,99.74,,0.31,,618,No Different than the National Rate,1.9,1.4,2.6,,N/A,N/A,N/A,N/A,N/A,5
MONTGOMERY SURGICAL CENTER,01C0001000,1376634683,MONTGOMERY,AL,36117,2019,42.71,,N/A,5,600,No Different Than the National Rate,11.1,8.1,15.1,,100,,0.26,,,,,,,,,,,,,
MOBILE SC LTD DBA MOBILE SURGERY CENTER,01C0001002,1760447866,MOBILE,AL,36608,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,0,,0.41,,339,No Different than the National Rate,2.4,1.8,3.3,,N/A,N/A,N/A,N/A,N/A,5
MOBILE SC LTD DBA MOBILE SURGERY CENTER,01C0001002,1760447866,MOBILE,AL,36608,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,0,,0.41,,,,,,,,,,,,,
OUTPATIENT CARECENTER,01C0001008,1285690073,BIRMINGHAM,AL,35007,2020,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,0,,0.38,,167,No Different than the National Rate,2.2,1.6,3,,N/A,N/A,N/A,N/A,N/A,5
OUTPATIENT CARECENTER,01C0001008,1285690073,BIRMINGHAM,AL,35007,2019,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.52,,,,,,,,,,,,,
SURGICARE OF MOBILE LTD,01C0001009,1720044522,MOBILE,AL,36606,2020,97.12,,N/A,5,1714,No Different than the National Rate,9.5,7.3,12.4,,100,,0.16,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
SURGICARE OF MOBILE LTD,01C0001009,1720044522,MOBILE,AL,36606,2019,100,,N/A,5,1930,No Different Than the National Rate,13.4,10.4,17.3,,100,,0.21,,,,,,,,,,,,,
SOUTHERN ALABAMA SURGERY CENTER LLC,01C0001010,1346349164,DOTHAN,AL,36301,2020,88,,N/A,5,956,No Different than the National Rate,9.9,7.6,13.1,,100,,0.33,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,81,No Different than the National Rate,6.1,4.1,8.9,
SOUTHERN ALABAMA SURGERY CENTER LLC,01C0001010,1346349164,DOTHAN,AL,36301,2019,N/A,5,N/A,5,1193,No Different Than the National Rate,12,9,15.6,,N/A,5,N/A,5,,,,,,,,,,,,
GADSDEN SURGERY CENTER LP,01C0001011,1962467951,GADSDEN,AL,35901,2020,100,,100,,380,No Different than the National Rate,10.3,7.5,14,,100,,1.09,,189,No Different than the National Rate,2.2,1.6,3.1,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
GADSDEN SURGERY CENTER LP,01C0001011,1962467951,GADSDEN,AL,35901,2019,N/A,5,N/A,5,411,No Different Than the National Rate,12.9,9.5,17.5,,N/A,5,N/A,5,,,,,,,,,,,,
THE SURGERY CENTER OF HUNTSVILLE,01C0001013,1841342789,HUNTSVILLE,AL,35801,2020,93.15,,N/A,5,1346,No Different than the National Rate,9.7,7.3,12.7,,99.48,,0.14,,1263,No Different than the National Rate,1.9,1.4,2.4,,45,No Different than the National Rate,5.7,3.8,8.4,
THE SURGERY CENTER OF HUNTSVILLE,01C0001013,1841342789,HUNTSVILLE,AL,35801,2019,90.48,,N/A,5,1615,No Different Than the National Rate,11.4,8.8,14.8,,99.79,,0.11,,,,,,,,,,,,,
OUTPATIENT SERVICES EAST,01C0001014,1932298718,BIRMINGHAM,AL,35235,2020,95.83,,N/A,5,1636,No Different than the National Rate,11,8.4,14,,100,,0.95,,324,No Different than the National Rate,2.1,1.6,2.8,,165,No Different than the National Rate,6.3,4.5,8.8,
OUTPATIENT SERVICES EAST,01C0001014,1932298718,BIRMINGHAM,AL,35235,2019,N/A,5,N/A,5,2071,No Different Than the National Rate,13.6,10.8,17.1,,N/A,5,N/A,5,,,,,,,,,,,,
TUSCALOOSA SURGICAL CENTER LP,01C0001017,1679544050,TUSCALOOSA,AL,35406,2020,65.56,,N/A,5,164,No Different than the National Rate,9.8,7.2,13.3,,99.2,,0,,226,No Different than the National Rate,2.1,1.5,2.8,,102,No Different than the National Rate,5.5,3.8,8,
TUSCALOOSA SURGICAL CENTER LP,01C0001017,1679544050,TUSCALOOSA,AL,35406,2019,57.45,,N/A,5,214,No Different Than the National Rate,12.9,9.2,17.6,,99.01,,0.1,,,,,,,,,,,,,
DECATUR AMBULATORY SURGERY CENTER,01C0001018,1386782787,DECATUR,AL,35603,2020,72.92,,N/A,5,1498,No Different than the National Rate,9.8,7.6,12.9,,N/A,5,0.31,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5
DECATUR AMBULATORY SURGERY CENTER,01C0001018,1386782787,DECATUR,AL,35603,2019,N/A,5,N/A,5,1815,No Different Than the National Rate,12.2,9.5,15.6,,N/A,5,N/A,5,,,,,,,,,,,,
